Schema	Schema URI	Schema Prefix	Class	Parent Class	Label	Alternative Labels	Mappings	Attribute Name	Description	Data Type	Limits	Comment
			Affiliation					endDate	The date that the Affiliation described here ended (where a organizational role is provided, this is the date when this role in the organization ended)	dateTime	0..1	If a specific organizational role and/or status are reported, the endDate indicates when this particular role/status ended.  
			Descriptor	Entity	Descriptor				An object that wraps a value object in order to transfer additional, non-definitional information about it.  			Value Object Descriptors are constructs created and used for message passing, and provide a means to separate immutable elements that define an entity, from other descriptors that are often passed along to improve the useability of the object (e.g. labels, identifiers, xrefs, aliases, etc.).
			Descriptor					valueObjectId	The computed identifier of the value object described/wrapped by the Descriptor	identifier	0..1	Condition:  either the valueObjectId or the valueObject field is Required
			Descriptor					valueObject	An in-lined representation of the wrapped value object	Entity	0..1	Condition:  either the valueObjectId or the valueObject field is Required
			Descriptor					valueObjectName	The preferred name for the wrapped value object as assigned by the creator of the VOD 	string	0..1	
			Descriptor					valueObjectAlias	Other labels that exist for the wrapped value object.  	string	0..*	Guidance: The primary purpose of this field is to capture simple, informal names. Labels based on systematically-generated expressions from formal nomenclatures can be included here, but are best captured using the valueObjectExpression field.
			Descriptor					valueObjectExpression	Systematic expressions that describe the wrapped object, as generated by formal nomenclature systems (e.g. HGVS, ISCN, HLA).	Expression	0..*	Guidance:  For Variations, itis strongly recommended that a HGVS or ISCN expression is captured in this field (even if it is the same as the preferred or an alias).
			Descriptor					valueObjectDescription	A free text description of the entity represented by the wrapped value object.	string	0..1	
			Descriptor					valueObjectXref	Points to an external database record for an entity that is equivalent to or closely related to the entity represented by the wrapped value object.	string	0..*	
			VariationDescriptor	Descriptor	Variation Descriptor				A Descriptor that describes a value object representation of a molecular variation. 			
			VariationDescriptor					moleculeContext	The type of macromolecule on which the variation exists (e.g. genomic, transcript, protein)	Coding 	0..1	
			VariationDescriptor					structuralType	The high-level structural type of the Variation (e.g. SNV, CNV, insertion, duplication, etc)	Coding	0..*	
			Coding	Element	Coding		FHIR:Coding		A structured representation of a coded/enumerated data value, that includes additional metadata about the code and code system.                                			
			Coding					code	The value of the code itself.	string	0..1	Either a code, label, or both must be provided. 
			Coding					label	A human-readable name for the code.	string	0..1	Either a code, label, or both must be provided. 
			Coding					system	The code system where the code is defined.	string	0..1	
			Coding					systemURL	A URL where the code system can be found.	url	0..1	
			Coding					systemVersion	The version of the code system.	string	0..1	
			Expression	Element	Expression				A structure for labels representing systematic expressions that describe an entity, as generated by formal nomenclatures (e.g. HGVS for genetic variants, ISCN for karyotypes, HLA nomenclature for HLA genes/alleles).			Similar to the 'Coding' data type, which provides the same fields but for coded values, as opposed to human-readable names.
			Expression					value	A free-text rendering of the expression used as a label for the entity	string	1..1	
			Expression					system	The nomenclature system that created and assigned the expression.	string	1..1	This should be provided whenever the expression comes from a formal nomenclature system.
			Expression					systemURL	A URL for the nomenclature system	url	0..1	
			Expression					systemVersion	The version of the nomenclature system.	string	0..1	
			Extension	Element	Extension		FHIR.Extension		A data structure that allows implementations to define and create custom fields within an Entity to capture information not supported by the core specification. 			The modeling pattern and use of Extensions is based on that defined by the FHIR Speciufication - see https://build.fhir.org/extensibility.html
			Extension					description	A free text description of the intended semantics and use of this extension element (i.e. they types of values it takes, and how to interpret these values in the context of the parent Class)	string	0..1	
			Extension					name	A name that captures the meaning of the extension element	string	1..1	
			Extension					value	The value of the extension element	Element	1..1	
			RecordMetadata	Element	Record Metadata				A re-usable structure that encapsulates provenance metadata that applies to a specific concrete record/encoding of information, as opposed to provenance of the abstract information content/knowledge the record represents.    			Record-level metadata applies to a specific concrete encoding/serialization of knowledge  (e.g as a record in a specific database, or an online digital resource). A RecordMetadata object can capture provenance and other metadata, including when, how, and by whom a specific record was generated or modified; what upstream resources it was derived/retrieved from; and record-level administrative information such as versioning and system / lifecycle status.
			RecordMetadata					description 	A free text description of the RecordMetadata object.	string 	0..1	It be helpful to describe in free text what specific record the object describes, and the type of metadata it contains, to assist consumers in understanding/using this information.
			RecordMetadata					recordIdentifier	The business identifier of the record described in the RecordMetadata object (required when the record described is not the one in the present system)   	identifier	0..1	This is needed only when the RecordMetadata object describes an upstream source record, as opposed to the record in the present system, so it is clear what the metadata it contains is about.  e.g. when ClinGen ingests and transfroms ClinVar data, it wants to maintain a record of when the source ClinVar record was submitted and by whom.  A RecordMetadata object could be created that describes this upstream source recrod, including infromation about its submission to ClinVar.   
			RecordMetadata					partOfDataset	The dataset of which the described record is a part (releveant when the record described is not the one in the present system)   	DataSet	0..1	Can provide important context for understanding record-level metadata, in cases where it describes records from upstream datasets/systems.
			RecordMetadata					recordVersion	The version number of the record-level artifact the object describes	string 	0..1	
			RecordMetadata					previousVersion	The version of a record in the same system that the current record replaces/follows.	identifier	0..1	Value should be a string representing the identifier of the previous record. Consider renaming: 'previousRecord', 'replaces'
			RecordMetadata					dateRecordCreated	The date the record was initially created.	dateTime 	0..1	
			RecordMetadata					dateRecordLastModified	The date the record was last edited/updated/modified to its present concrete form.	dateTime 	0..1	
			RecordMetadata					qualifiedContribution	Links to a 'Contribution' object allowing richer representation of specific types of contributions made by an agent to the creation, modification, or administrative management of a record.	Contribution	0..*	
			RecordMetadata					recordURL	A web address where the entity is found or described.	url 	0..*	
			RecordMetadata					xref	A cross-reference linking to an identifier for an entity/record that represents the same or a closely related concepts or knowledge as the present record.	string 	0..*	Preferred values for this field are CURIEs or URLs for database records
			Variation 	Entity	Variation 				A representation of the state of one or more biomolecules.			This is a placeholder for the root class of the VRS hierarchy of Variation classes, which we will use to represent the subjects of Statements in the VA model. See https://vrs.ga4gh.org/en/stable/terms_and_model.html#variation
			GeneticCondition	Entity	Genetic Condition				A disease, or a set of one or more co-occurring phenotypes, controlled by genetic factors with a defined inheritance pattern.			A Genetic Condition object can be used to compose a condition description based on component diseases and phenotypes, contributing genes, and an inheritance pattern. For now it is a simple/loose collection of features.  We can define a more complex model to support more precise and nuanced characterizations, as needed in future iterations.  
			GeneticCondition					componentDisease	A disease that is manifest in the genetic condition	Coding	0..*	
			GeneticCondition					componentPhenotype	A phenotype that is manifest in the genetic condition	Coding	0..*	
			GeneticCondition					inheritancePattern	The pattern in which the condition is passed from one generation to the next.	Coding	0..1	
			GeneticCondition					contributingGene	Genes implicated in the condition	Gene	0..*	
			TherapeuticIntervention	Entity	Therapeutic Intervention				A type of treatment administered/prescribed to a patient to prevent, ameliorate, or cure a medical condition.			This class is meant to describe a higher level class/type of therapeutic intervention, which may be composed of one or more drugs, procedures, or therapeutic activities -  as opposed to a specific instance that occurs on specific occasions toward particular patients.
			TherapeuticIntervention					componentDrug 	A chemical or biological substance administered or consumed to alleviate or prevent a condition	Coding	0..*	
			TherapeuticIntervention					componentProcedure	A medical procedure underwent to alleviate or prevent a condition	Coding	0..*	
			TherapeuticIntervention					componentActivity	An activity participated in to alleviate or prevent a condition	Coding	0..*	
			TherapeuticIntervention					drugOperator	Allows specification of how the drugs captured in the drug field should be considered in relation to each other (e.g. co-treatment, sequential treatment, alternates) 	Coding	0..1	
			Gene 	Entity	Gene 				A region (or regions) that includes all of the sequence elements necessary to encode a functional transcript. A gene may include regulatory regions, transcribed regions and/or other functional sequence regions.			
			Gene 					biotype	A particular type of gene according to the Ensembl Biotypes classification 	string	0..1	
			Gene 					symbol	Abbreviated symbol for the gene 	string	0..1	
			Gene 					location	Location on a reference - to support representing features defined using specific coordinates	SequenceLocation	0..*	
			Gene 					strand	The strand on which the gene is located (positive, negative)	Coding	1..1	
			SequenceLocation	Entity	Sequence Location				A specified subsequence of a reference Sequence. The reference is typically a chromosome, transcript, or protein sequence.			This is a stub for a class defined by the VRS specification:  https://vrs.ga4gh.org/en/stable/terms_and_model.html?highlight=curie#sequencelocation 
			string		string				A sequence of Unicode characters			The string data type represents free-text that is not constrained to some code set or associated with some semantic interpretation. It is the most generic form of free-text literal in the model, and conceptually subsumes other string-based data types with more constrained interpretations (e.g. code, identifier, url).
			url	string	url				A string representing a Uniform Resource Locator (RFC 1738), specifying a web address where a resource can be found or information about the resource discovered. 			Used in place of a plain string datatype when a resolvable web address for a resource is desired.  Common URL protocols are http{s}:, ftp:, mailto: and mllp:, though many others are defined.
			class	string	class				A string representing the class of objects to which an instance belongs.			This string must be the name of a concrete class from the core VA specification, or a specialization of such a class in a profile defined by a particular implementation. The ‘class’ data type described here is reserved for specifying the type of an object/instance in a dataset.
			dateTime	string	dateTime				A string value that specifies a date and time of day comprised of a year, month, day, hour, minute, and second, following the form “YYYY-MM-DDThh:mm:ss”			Conventions for representing date + time defined here are based on the ISO 8601 standard. Hours of the day should use 24-hour time (e.g. 2PM = 14:00:00). A time zone can be specified as described for ‘dates’ above, e.g. "1978-01-20T05:15:00Z, and "1978-01-20T05:15:00+5:00".  If precision down to time of day is not possible or necessary, the hours, minutes, and seconds must still be provided due to schema constraints, but can all be set to “00” and ignored at the instruction of the message sender.
			identifier	string	identifier				A string value that uniquely identifies a specific instance of an object in a dataset or document. Identifiers should be persistent, machine-resolvable, and unique within their intended scope of use. 			We distinguish between two types of identifiers depending on their intended scope of use. ‘Logical identifiers’ are used to identify a data object within a given system, where it is used as a reference from other objects within the same system (i.e. primary and foreign keys). The same data object copied to a different system will likely have a different logical identifier in that new system. ‘Business identifiers’ are typically provided by an external system or authority, and are meant to be globally unique and persist across implementing systems. A given entity or concept may have many business identifiers associated with it, which can all be captured in a given data system. In the VA model, we follow FHIR naming conventions and use an  id  attribute to hold the logical identifier of a data object, and an identifier attribute to hold any business identifiers that the data creator may also want to provide. Use of the W3C Compact URI (CURIE) syntax to structure identifiers is strongly recommended, as a way to ensure that a given identifier is unique within its intended scope of use. 
			boolean		boolean				A binary data type that holds either a TRUE or FALSE value.			
